Formula              ✕,Band gap              ✕,Cond. band minimum              ✕,Val. band maximum              ✕,Work function (avg. if finite dipole)              ✕
In2I2S2,1.539,-0.82,-2.359,5.4
ISSb,1.219,-1.281,-2.501,5.199
MoOTe,0.177,0.043,-0.134,4.567
WOS,1.503,0.257,-1.246,4.887
TiSTe,0.093,-1.091,-1.184,5.183
Au2I2Se4,0.715,-2.0,-2.715,5.071
Ru2P2Te6,0.2,-0.607,-0.807,4.7
Au2S2,1.216,-2.326,-3.542,5.372
Cr2W2S8,0.941,-0.333,-1.274,5.246
HfNiI6,0.862,-1.513,-2.375,5.231
Al8Te12,1.775,-1.404,-3.179,4.028
Ga2Se2,0.697,-2.455,-3.152,4.712
Nb3I7Te,0.565,-2.306,-2.871,4.689
K2C4,0.374,-4.705,-5.078,6.079
Nb3Br8,0.293,-2.408,-2.702,4.434
Pb2Br4,2.239,-3.043,-5.281,5.331
Sn2O2,0.014,-2.024,-2.039,3.035
As2O8Sb2,3.383,-1.909,-5.293,5.085
Ca4O12Te4,3.969,-0.199,-4.168,3.792
CrHO2,0.092,-2.596,-2.688,4.061
Cu4Cl4O4,0.313,-5.543,-5.856,7.323
Hg2GeO4,2.596,-3.314,-5.91,5.52
Ir2Ta2Te8,0.047,-1.918,-1.965,4.336
MnF12Sb2,1.742,-4.044,-5.786,7.1
NiRe2O8,1.575,-4.481,-6.056,6.935
Pd2O6Se2,0.636,-2.855,-3.491,4.711
Re6Cl2Se8,1.194,-2.453,-3.647,5.698
Sr2Br2H2,4.354,-0.23,-4.584,4.511
Zn2As4O8,3.605,-0.287,-3.892,4.251
Ag2Br2,1.834,-1.904,-3.738,5.411
AgInP2S6,1.317,-2.558,-3.875,5.219
CsC2I3N2,2.286,-0.994,-3.28,3.631
K2C6H6O6,2.647,-1.218,-3.865,3.97
Mn2Br2S4Sb2,0.124,-2.624,-2.748,4.328
H4O10Si4,5.471,-1.152,-6.622,5.094
Zn2Cl4O6Sb4,3.264,-2.239,-5.503,6.255
Cs2F2H6O6P2,5.59,0.393,-5.197,4.641
Zr3C2F2S2,0.02,1.237,1.217,6.347
AlAs,1.237,-1.965,-3.203,4.59
S3Sb2,0.599,-0.599,-1.199,5.608
Bi2Se2,0.348,-1.254,-1.602,4.693
Cu2Br2,1.496,-0.896,-2.392,4.47
Rb2Br2,4.18,-0.538,-4.718,3.768
Cd2S2,1.786,-1.246,-3.032,5.224
Cu2Se2,0.447,-2.371,-2.818,5.189
Rb2F2,4.557,-0.101,-4.658,3.381
Ga2O2,1.556,-1.824,-3.38,6.335
V2S2,0.214,-0.832,-1.045,5.036
Tl2Se2,0.494,-1.421,-1.915,5.595
CaI2,3.975,-0.39,-4.365,4.606
CdO2,0.141,-5.077,-5.218,7.686
CrS2,0.877,-0.667,-1.544,5.403
Br2Ge,2.536,-1.061,-3.598,5.398
HfS2,1.061,-1.811,-2.872,6.354
HgCl2,2.084,-2.637,-4.721,6.821
MoS2,1.58,0.223,-1.357,5.097
NiO2,1.281,-3.865,-5.146,7.456
OsBr2,0.095,-0.339,-0.434,3.842
Os2S4,0.111,-2.573,-2.684,5.386
PbBr2,2.004,-2.175,-4.179,5.974
PbS2,1.39,-1.656,-3.046,4.674
Pt2Te4,1.309,-0.883,-2.192,4.433
SnCl2,1.453,-2.679,-4.131,5.288
SnSe2,0.86,-1.635,-2.495,4.936
TiS2,0.734,-2.134,-2.868,6.399
ZnCl2,4.213,-1.225,-5.438,5.676
ZrTe2,0.259,-0.994,-1.252,5.278
HfH2O2,0.413,-0.242,-0.654,2.952
Bi2STe2,0.158,-0.43,-0.588,5.251
S2Sb2Te,0.803,-0.191,-0.994,5.477
Cu2MoTe4,0.378,-0.982,-1.36,4.396
Cu2ReBr6,0.085,-2.19,-2.276,5.301
Al2I6,2.093,-0.589,-2.682,4.819
Bi2Br6,1.743,-3.037,-4.781,6.314
Co2I6,0.526,-1.169,-1.696,4.874
Fe2Br6,0.043,-3.619,-3.662,6.294
Ir2Br6,1.567,-0.876,-2.443,4.73
Mo2I6,0.977,-0.918,-1.895,4.719
Sc2I6,1.851,-1.01,-2.861,5.002
Ti2Br6,0.17,-1.903,-2.074,4.819
Zr2Se6,0.41,0.245,-0.165,5.021
Cr3MoSe8,0.707,-0.11,-0.817,4.868
Mo3WSe8,1.3,0.766,-0.533,4.493
Al2I2O2,2.219,1.828,-0.391,3.726
AsClSe,1.717,-1.234,-2.95,5.618
AsITe,0.982,-0.978,-1.96,4.838
Bi2Br2S2,0.969,-2.201,-3.17,6.275
BiClSe,0.851,-2.675,-3.526,6.139
K2I2,3.885,-0.568,-4.453,3.847
BiITe,0.412,-1.921,-2.333,5.452
Ir2Br2S2,0.344,-0.734,-1.078,5.042
Cr2Cl2Se2,0.176,-2.33,-2.507,6.051
HfClI,0.814,1.657,0.843,3.039
ClSSb,1.669,-1.572,-3.24,5.918
Li2F2S2,1.69,-2.314,-4.004,4.365
Ga2I2Se2,0.822,-1.337,-2.159,5.476
In2I2Se2,1.264,-1.069,-2.333,5.436
Sc2I2S2,1.662,-0.554,-2.217,5.245
WOSe,1.244,0.57,-0.674,4.531
Au2I2Te4,0.711,-1.601,-2.312,4.79
Bi2P2S6,0.655,-1.65,-2.305,5.297
Fe2P2Te6,0.126,-0.589,-0.716,4.652
Ir2P2S6,0.057,-1.297,-1.353,5.07
Pb2P2S6,1.365,-1.2,-2.565,5.286
P2Sb2Se6,0.974,-0.792,-1.766,4.686
Cr2W2Se8,0.759,0.166,-0.592,4.706
CoHfF6,0.827,-3.589,-4.417,6.207
MnZrBr6,1.643,-1.74,-3.383,5.356
CuBr,1.024,-2.694,-3.718,4.099
Nb3I8,0.193,-2.033,-2.227,4.236
Pd2Cl4,0.866,-4.14,-5.006,5.985
Ga2NiS4,0.17,-1.164,-1.333,4.357
Ag8C4N8,1.61,-2.048,-3.658,4.924
As4O12S2,4.456,-1.511,-5.967,4.949
Cr2Cu2O8,0.12,-5.654,-5.774,7.135
Cu4O12Te2,0.449,-5.941,-6.39,7.696
As2,1.483,-0.948,-2.431,4.5
Hg3B2O6,3.522,-2.349,-5.871,4.695
Li4O8Sb4,3.248,-0.243,-3.491,3.825
MnRe2O8,1.565,-3.598,-5.163,5.988
Na2Nb2Cl12,2.287,-3.564,-5.851,6.518
Nb2Br4O2,1.038,-2.797,-3.836,5.13
Ni2As2O7,0.452,-4.3,-4.752,5.787
O14S2Te4,3.194,-2.928,-6.122,6.61
Pd4Tl2Se6,0.834,-2.189,-3.023,4.408
Rh2Cl2Te2,1.038,-2.486,-3.524,4.894
Sr2F2I2,4.219,0.284,-3.935,4.319
ZnC4N6,5.039,-1.218,-6.257,4.311
AgInP2Se6,0.863,-2.49,-3.354,4.941
Fe2W2Cl2O8,1.085,-5.263,-6.349,7.166
K2C2H2O6,4.463,0.095,-4.368,3.358
Mn2Br2Sb2Se4,0.265,-2.642,-2.907,4.397
Zn2H4O8Se2,4.452,-0.209,-4.661,4.005
Cu2Br2C4H4N2,0.69,-2.48,-3.169,4.083
Zr3C2O2,0.382,1.025,0.643,5.433
Sb2Se3,0.421,-0.299,-0.72,5.272
Ag2Cl2,2.0,-2.348,-4.349,5.718
AsB,0.757,-1.863,-2.62,4.536
Re2Br2,0.1,0.93,0.83,4.711
C2H2,3.46,0.894,-2.566,3.0
GeO,2.133,-1.781,-3.914,5.492
Ta2I2,0.046,1.345,1.298,3.077
InN,0.616,-2.175,-2.791,4.56
In2Te2,1.233,-0.153,-1.385,4.649
Rh2O2,0.067,-1.644,-1.711,6.506
BaI2,3.958,-0.464,-4.423,4.498
Pb2Se2,0.05,-2.215,-2.265,4.61
S2Sb2,0.362,0.296,-0.067,4.645
Sb2Se2,0.237,0.497,0.259,4.375
Sn2Se2,0.084,-1.766,-1.85,3.985
Ti2Te2,0.217,0.37,0.153,4.61
CaI2,3.537,0.241,-3.296,4.589
Cd2S4,1.52,-1.031,-2.552,4.115
Br2Ge,2.301,-1.396,-3.697,5.422
Hf2Cl4,0.843,0.29,-0.553,4.046
HfS2,2.094,-1.808,-3.902,5.605
HgCl2,2.468,-2.933,-5.401,6.458
HgSe2,0.03,-2.234,-2.263,4.764
YCl2,0.374,-0.238,-0.612,3.901
MnI2,1.048,-0.877,-1.925,4.988
Nb4O8,0.459,-1.795,-2.254,5.252
OsBr2,0.042,-0.747,-0.789,4.517
Os2S4,0.53,-0.634,-1.164,5.13
PbBr2,1.661,-2.808,-4.469,5.711
PbS2,0.672,-2.684,-3.355,5.831
PdCl2,0.463,-2.746,-3.209,6.009
PdSe2,0.558,-1.255,-1.813,5.057
SnCl2,2.324,-1.756,-4.079,5.613
TiCl2,0.903,0.405,-0.497,3.794
TiS2,0.022,-2.01,-2.033,5.734
VTe2,0.212,-0.553,-0.765,4.968
W2Se4,0.032,-0.381,-0.413,4.938
ZnCl2,4.453,-0.424,-4.877,5.634
HgH2O2,0.772,-1.774,-2.546,3.667
NiH2O2,1.078,0.064,-1.014,1.986
SSb2Se2,0.466,-0.324,-0.789,5.254
Sb2Se2Te,0.573,-0.067,-0.64,5.218
Ag2WO4,1.95,-2.904,-4.854,5.725
Cu2ReCl6,0.467,-2.322,-2.789,5.428
As2Br6,2.477,-1.644,-4.121,5.609
Fe2Br6,0.042,-2.466,-2.508,5.423
Ir2Cl6,1.823,-0.987,-2.81,5.004
Os2Cl6,0.063,-2.027,-2.09,5.267
Re2I6,0.141,-0.767,-0.908,3.777
Sc2I6,1.863,-1.309,-3.172,5.127
Y2Br6,3.496,-1.22,-4.716,5.425
Cr3MoTe8,0.467,0.283,-0.184,4.526
Mo3WTe8,0.9,0.984,0.085,4.235
Al2I2S2,1.615,-0.416,-2.03,5.145
AsClTe,1.479,-1.527,-3.005,5.39
BiBrS,1.188,-2.084,-3.272,6.199
BiClTe,0.599,-2.349,-2.949,5.715
BiITe,0.346,-1.35,-1.696,5.332
TiBrI,0.679,0.819,0.14,3.429
Ir2Br2Se2,0.052,-1.127,-1.179,5.192
Hf2Cl2N2,2.101,0.041,-2.06,5.132
Ir2Cl2O2,0.444,-0.514,-0.958,4.573
Pt2Cl2N2,0.354,-1.385,-1.739,5.672
ClSSb,1.316,-2.115,-3.431,5.816
Na2F2O2,2.813,-2.192,-5.005,4.749
MoSSe,1.453,0.445,-1.008,4.849
WOTe,0.537,0.587,0.051,4.331
ZrSeTe,0.262,-1.039,-1.301,5.334
Cu2Br2S4,0.934,-2.409,-3.343,5.424
Bi2P2Se6,0.69,-1.118,-1.808,4.862
Ir2P2Se6,0.064,-0.971,-1.035,4.761
Pb2P2Se6,0.971,-1.155,-2.126,5.1
P2Sb2Te6,0.508,-0.611,-1.12,4.376
Cr2W2Te8,0.497,0.508,0.011,4.391
CoZrBr6,0.388,-2.231,-2.618,5.376
MnZrCl6,0.312,-1.677,-1.989,4.95
Al2O4,0.017,-6.416,-6.433,8.445
Bi2In2,0.037,-2.151,-2.188,3.888
Cu2F4,0.825,-5.739,-6.564,7.325
As2O6Sb2,3.974,-0.35,-4.324,4.038
Bi4B4O12,2.865,-1.112,-3.977,4.412
Cr2Ge2Te6,0.125,-2.426,-2.552,4.633
Cu4O12Te4,0.043,-3.821,-3.864,5.039
Hg2V2O6,2.182,-3.877,-6.059,6.083
Mo2O10P2,1.04,-3.389,-4.428,5.373
Na4O8S4,2.385,-0.985,-3.369,3.565
Nb2I2O4,1.188,-1.559,-2.747,5.084
O4S8Sb8,1.879,-1.947,-3.826,4.448
Rh2Ta2Te8,0.076,-2.029,-2.105,4.41
Sr2H8O6,4.396,-0.227,-4.623,3.629
V2O10P2,1.566,-4.779,-6.345,6.903
Zn2Ge2O6,2.745,-2.198,-4.943,5.111
AgScP2S6,2.017,-2.159,-4.176,5.16
BiHO6Se2,3.007,-1.847,-4.854,5.241
Cs2C6N6Se6,1.932,-1.836,-3.768,4.585
Na2SnH6O6,3.937,-1.142,-5.079,3.947
ZnB2C8N8,5.164,-3.183,-8.347,7.169
CuC6H4N6O2,0.818,-4.011,-4.829,5.648
As4,0.835,-0.727,-1.562,4.248
Sb2Te3,0.337,0.242,-0.095,4.797
Ag2Cl2,1.569,-1.618,-3.187,5.036
AlN,2.893,-0.555,-3.448,3.876
Bi2Se2,0.161,-0.022,-0.183,4.89
Ti2Br2,0.019,0.378,0.358,3.157
Cd2Se2,1.402,-1.192,-2.594,5.141
K2F2,4.964,-0.152,-5.116,3.571
V2F2,0.031,-0.262,-0.293,5.114
GaP,1.583,-1.806,-3.39,4.553
Rb2I2,3.714,-0.555,-4.269,3.699
In2O2,0.385,-2.121,-2.506,6.25
Ir2O2,0.122,-0.042,-0.164,5.469
Pb2Se2,0.789,-0.221,-1.01,4.11
Sn2Se2,0.923,-0.059,-0.981,3.914
Ti2Te2,0.11,0.394,0.284,4.598
Fe2Se4,0.575,-0.483,-1.059,4.849
CdS2,1.359,-1.798,-3.158,4.387
FeCl2,0.351,-1.889,-2.24,5.569
Cl2Ge,1.373,-2.858,-4.231,5.551
GeSe2,0.564,-1.428,-1.992,4.652
HfS2,1.221,-1.354,-2.575,5.726
HgF2,2.089,-4.386,-6.475,7.029
In2S4,0.41,-1.996,-2.406,5.357
PbCl2,2.775,-1.905,-4.68,6.315
MgBr2,4.588,0.21,-4.378,4.944
MnI2,0.877,-0.885,-1.762,4.715
Ni2S4,0.824,-1.911,-2.735,4.868
OsCl2,1.33,0.312,-1.018,3.799
PbBr2,2.275,-1.812,-4.086,5.982
PbS2,0.755,-2.486,-3.242,6.389
PdF2,0.027,-5.37,-5.397,8.13
Pd2Te4,1.212,-1.149,-2.361,4.518
PtTe2,0.303,-0.151,-0.454,4.133
HgH2S2,2.352,-1.578,-3.93,5.011
Rh2Cl4,0.413,-1.815,-2.228,5.077
Rh4S8,0.597,-1.66,-2.257,5.694
Cu2ReF6,0.872,-2.341,-3.212,4.857
ScCl2,0.107,-0.598,-0.705,4.057
ScSe2,0.56,-1.86,-2.42,5.338
SnF2,1.641,-2.014,-3.655,4.384
Bi2Cl6,2.181,-3.207,-5.388,6.726
W2Se4,0.032,-2.089,-2.121,4.524
ZnCl2,3.434,-1.07,-4.503,5.97
Zr2Br4,0.58,0.016,-0.564,4.04
ZrO2,1.69,-2.782,-4.472,7.256
Sc2CF2,1.02,-0.199,-1.219,4.516
Bi2OS2,0.566,-1.337,-1.904,6.211
SSb2Te2,0.474,0.177,-0.297,4.782
Ag2WS4,1.38,-1.563,-2.943,4.876
AsClTe,1.289,-1.243,-2.532,5.474
Fe2Cl6,0.375,-4.181,-4.556,6.991
Ir2Cl6,0.267,-2.594,-2.861,5.399
Pd2I6,0.03,-2.044,-2.074,5.281
Re2I6,0.134,-0.994,-1.129,4.556
Ru2Se6,0.243,-0.569,-0.811,4.465
Ti2Cl6,0.121,-2.076,-2.197,4.995
V2Cl6,0.023,-2.857,-2.88,5.425
Y2Br6,4.087,-0.682,-4.769,5.392
CrMo3S8,1.184,-0.235,-1.419,5.277
MoW3S8,1.532,0.545,-0.987,4.834
Hf3ZrS8,1.149,-1.767,-2.917,6.306
Al2I2Se2,1.493,-0.342,-1.835,4.906
BiBrS,0.891,-2.644,-3.535,6.155
BiClTe,0.531,-1.865,-2.396,5.669
ZrBrCl,0.912,1.038,0.126,3.373
Sn2Br2N2,1.366,-0.902,-2.267,5.625
Ir2Cl2S2,0.355,-1.206,-1.56,5.48
Sc2Cl2S2,2.109,-1.238,-3.347,5.705
Cr2I2S2,0.331,-1.019,-1.35,5.24
Na2F2S2,1.846,-0.823,-2.669,3.706
HfSSe,0.684,-1.454,-2.137,5.321
MoSTe,0.204,-0.006,-0.209,4.642
Ag2Br2S4,1.167,-2.338,-3.505,5.554
Cu2Br2Se4,0.836,-2.105,-2.942,5.138
Bi2P2Te6,0.393,-0.802,-1.195,4.487
Ga2P2Te6,0.285,-0.635,-0.921,4.472
Ir2P2Te6,0.225,-0.235,-0.461,4.293
Pb2P2Te6,0.671,-0.918,-1.589,4.826
Sc2P2S6,0.827,-0.976,-1.803,4.834
Hf2Ti2S8,0.91,-1.952,-2.862,6.3
FeHfBr6,0.938,-1.175,-2.113,4.705
MnZrF6,0.66,-2.353,-3.012,5.192
Nb4S12,0.376,-1.45,-1.826,4.689
Pd4I8,1.069,-3.162,-4.231,5.257
AgSnF6,0.602,-7.04,-7.642,8.474
As2O8P2,4.367,-2.912,-7.278,6.448
Bi2Cu2S4,0.136,-1.645,-1.78,3.701
Cd2Mn3O8,1.102,-2.306,-3.408,4.235
Cr2Si2Te6,0.272,-2.289,-2.56,4.569
Cu2S4Sb2,0.357,-1.752,-2.109,4.028
Ga2Cl2Te2,2.163,-2.565,-4.728,5.494
Hg2K4Cl8,3.33,-2.763,-6.093,5.648
K2C2O6,1.05,-4.822,-5.872,6.729
Bi2Br2,0.867,-2.48,-3.348,5.621
Na2Ta2Cl12,2.792,-3.161,-5.954,6.38
Nb2I4O2,1.024,-2.142,-3.165,4.703
O8P2Sb2,4.374,-0.906,-5.28,4.544
Pd4P4S4,1.195,-2.243,-3.438,5.186
Sr2O12P4,5.087,-1.551,-6.638,5.635
PtO2,1.674,-2.005,-3.679,6.033
V4F12O4,3.465,-4.916,-8.381,8.088
Zn2O6Si2,3.402,-1.112,-4.513,4.332
AgScP2Se6,1.634,-2.026,-3.66,4.864
Ca2Cl4H8O4,5.714,-0.971,-6.685,5.023
K2Pt2Cl6N2,0.268,-4.963,-5.23,6.611
Mn2Cl2S4Sb2,0.355,-2.769,-3.124,4.524
ZrH2O6P2,4.28,-1.067,-5.347,4.4
Cu2C6H8I2N2,0.838,-2.128,-2.966,3.908
Bi2S3,0.47,-1.277,-1.747,6.21
Ag2F2,0.555,-3.173,-3.729,4.81
Bi2Te2,0.332,-1.229,-1.561,4.66
Ga2Br2,2.125,-1.447,-3.571,3.923
Tl2Br2,2.413,-1.536,-3.949,4.344
Hg2Cl2,0.134,-2.01,-2.145,6.334
Cl2Sb2,0.436,-2.233,-2.669,5.062
Ge2S2,1.714,-0.271,-1.985,4.234
PbSe,1.532,-1.3,-2.832,4.619
SnSe,2.177,-0.91,-3.087,4.653
Zr2Se2,0.02,-0.044,-0.063,3.777
Zn2Te2,0.545,-0.883,-1.428,4.516
FeCl2,0.843,-0.766,-1.609,4.505
Cl2Ge,2.617,-1.562,-4.179,5.717
HfCl2,0.908,1.244,0.336,3.245
MgBr2,3.57,-0.34,-3.91,5.164
MnI2,1.224,-1.622,-2.846,4.793
HgI2,0.704,-1.631,-2.335,5.387
Ir4Se8,0.824,-0.423,-1.247,4.823
Pb2Se4,0.728,-1.181,-1.909,4.283
Re2I4,0.111,0.355,0.244,3.623
RuBr2,0.278,-1.616,-1.894,5.332
Ru2S4,0.725,-1.055,-1.781,5.35
SnI2,1.094,-2.219,-3.313,5.05
Fe2Cl6,0.013,-2.934,-2.948,5.911
VBr2,1.252,-0.285,-1.537,3.973
ZnF2,4.425,-2.733,-7.158,6.642
ZrO2,4.369,-0.906,-5.274,5.306
Ti2CO2,0.325,-0.701,-1.025,5.662
CaF2O2,2.825,-2.296,-5.121,6.139
Bi2OSe2,0.461,-0.858,-1.319,5.676
Ir2I6,0.024,-0.933,-0.958,4.253
Ag2WSe4,1.07,-1.283,-2.353,4.576
Cu2ReI6,0.18,-1.701,-1.881,5.15
Bi2Cl6,2.36,-2.826,-5.186,6.603
Rh2Br6,0.271,-2.588,-2.859,5.469
Ti2I6,0.209,-1.4,-1.609,4.668
Y2Cl6,5.113,-0.635,-5.748,5.821
CrMo3Se8,0.951,0.232,-0.719,4.747
MoW3Se8,1.258,0.968,-0.289,4.321
Hf3ZrSe8,0.844,-1.38,-2.224,5.852
Bi2Br2Se2,0.658,-2.373,-3.031,6.262
VBrI,1.188,-0.369,-1.557,3.964
TiClI,0.745,0.711,-0.034,3.582
Ir2Cl2Se2,0.062,-1.571,-1.632,5.617
Ti4Cl4Se4,0.042,-1.132,-1.174,4.971
HfSSe,0.887,-1.546,-2.433,6.038
Ir2I2S2,0.215,0.095,-0.12,4.497
Sn2I2N2,1.069,-0.144,-1.213,5.159
MoSTe,0.992,0.587,-0.405,4.638
WSTe,1.141,1.011,-0.13,4.394
Ag2Br2Se4,1.237,-2.171,-3.407,5.364
Cu2Br2Te4,0.873,-1.562,-2.435,4.728
Cd2P2S6,1.887,-0.699,-2.585,5.262
Ge2P2S6,1.406,-0.881,-2.287,5.065
Pd2P2S6,0.014,-1.366,-1.38,5.162
Sc2P2Se6,0.684,-0.634,-1.317,4.52
Hf2Ti2Se8,0.646,-1.53,-2.176,5.843
FeHfCl6,1.092,-1.357,-2.449,4.998
MnZrI6,1.052,-1.33,-2.382,5.057
Hf2Te10,0.159,-2.267,-2.426,4.459
Mg2Cl4,4.504,-1.608,-6.112,5.39
Nb3Cl8,0.206,-2.583,-2.789,4.584
Pt4I8,1.225,-2.545,-3.77,4.752
As4Ge4Se4,1.735,-2.236,-3.971,4.778
Bi2Ge3O9,3.364,-1.656,-5.02,4.288
Cd4I4O4,0.023,-4.569,-4.592,6.259
Cu2Sb2Se4,0.183,-1.972,-2.155,4.16
Ga2In2S6,1.981,-2.136,-4.117,5.813
Hg4Mo2O8,2.278,-2.86,-5.138,5.73
K2Cl2O6,5.441,0.386,-5.056,3.805
Mo2Zn2O8,2.915,-2.634,-5.549,6.151
Na4As4O8,4.333,0.122,-4.211,3.597
NiCl2O8,1.554,-4.494,-6.048,7.147
Pd4P4Se4,1.103,-2.074,-3.177,4.973
Sr2Cl4O8,2.726,-0.644,-3.37,3.517
Ag2V2P4S12,0.028,-3.526,-3.554,5.555
Cu2C2Cl2O2,2.508,-1.699,-4.207,4.506
FeMn2C6N6,1.836,-2.771,-4.607,4.485
Mn2H4O8S2,2.112,-0.736,-2.848,3.157
Hg4K2Cl6O6S2,3.268,-1.897,-5.165,5.993
Bi2,0.557,-0.667,-1.224,3.563
Bi2Se3,0.271,-0.944,-1.215,5.833
Ag2F2,0.498,-2.901,-3.399,5.664
Al2O2,1.315,0.034,-1.281,4.345
GaAs,1.119,-2.139,-3.258,4.64
Bi2Cl2,0.894,-2.791,-3.685,5.852
Tl2Br2,3.06,-0.373,-3.432,3.926
Cd2Te2,0.633,-1.034,-1.666,4.778
Pb2Te2,0.05,-2.093,-2.143,4.719
Ge2Te4,0.032,-2.323,-2.356,4.473
Ga2S2,2.18,-0.431,-2.61,5.142
GeS,2.45,-1.054,-3.503,4.941
Hg2I2,1.277,-0.672,-1.949,5.273
MgCl2,5.941,0.563,-5.378,5.278
InP,1.099,-2.034,-3.134,4.633
Ag2WTe4,0.587,-0.897,-1.484,4.232
Zr2Se2,0.059,0.284,0.225,4.813
CaH2O2,3.713,0.247,-3.466,3.072
MgF2O2,2.967,-2.339,-5.307,6.745
Cd2Se4,1.363,-0.97,-2.333,4.356
Bi2OTe2,0.222,-0.135,-0.357,4.804
FeF2,0.135,-3.341,-3.476,6.316
Cl2Ge,2.955,-1.321,-4.275,5.872
HgI2,1.54,-1.836,-3.377,5.164
Mo2Se4,0.041,-0.631,-0.672,5.1
NiBr2,0.876,-2.067,-2.943,5.572
OsCl2,0.237,-0.25,-0.487,4.07
PbCl2,2.367,-2.245,-4.611,6.149
PbSe2,1.027,-1.57,-2.597,4.46
Re4Se8,1.115,0.472,-0.643,4.487
RuBr2,1.045,-0.365,-1.41,4.19
HfSTe,0.038,-1.004,-1.043,5.191
SnI2,1.837,-0.953,-2.789,4.988
SnTe2,0.39,-1.369,-1.759,4.441
ZnH2O2,2.333,-0.194,-2.527,2.81
TiH2,0.016,-2.51,-2.526,4.822
TiSe2,0.878,-2.282,-3.16,5.467
WSe2,1.238,1.075,-0.163,4.233
Sc2CH2O2,0.424,1.426,1.002,1.348
ZnI2,1.749,-0.742,-2.491,4.951
ZrO2,4.448,-0.189,-4.638,5.595
As2I6,1.911,-1.028,-2.94,5.073
Bi2F6,4.317,-1.604,-5.921,5.593
Hf2O6,3.47,0.435,-3.035,6.012
Ir2I6,1.358,-0.265,-1.623,4.439
C6N2,0.396,-0.312,-0.708,2.963
Rh2Br6,1.344,-1.723,-3.066,5.363
Br6Sb2,2.333,-1.78,-4.113,5.609
Ti2O6,2.461,-1.085,-3.546,6.723
V2I6,0.014,-1.945,-1.959,4.897
Y2Cl6,4.42,-1.134,-5.554,5.835
CrMo3Te8,0.645,0.556,-0.088,4.432
MoW3Te8,0.804,1.105,0.3,4.109
Hf3ZrTe8,0.142,-0.942,-1.084,5.196
BiCrAs,0.028,-0.273,-0.301,4.536
BiBrSe,1.02,-1.953,-2.974,6.0
HfBrCl,0.832,1.378,0.546,3.115
Ti2Br2N2,0.621,-1.663,-2.284,5.995
Mn2Cl2N2,0.176,-2.099,-2.275,6.018
CrSSe,0.782,-0.472,-1.254,5.159
MoSeTe,1.136,0.851,-0.285,4.466
WSTe,0.202,0.317,0.116,4.402
