Formula              ✕,Band gap              ✕,Cond. band minimum              ✕,Val. band maximum              ✕,Work function (avg. if finite dipole)              ✕
Ag2Br2Te4,1.214,-1.73,-2.944,4.979
CF2Si,1.935,-2.493,-4.428,6.585
Cd2P2Se6,1.271,-0.676,-1.947,4.976
Ge2P2Se6,0.984,-0.761,-1.745,4.806
Hf2Ti2Te8,0.037,-1.001,-1.037,5.168
FeHfF6,1.221,-2.071,-3.292,5.139
NiZrBr6,1.301,-2.328,-3.629,5.85
As8Ge4,1.186,-1.986,-3.171,4.56
Ag2I2,1.768,-0.304,-2.073,4.531
Al2Mg2Se5,1.114,-0.249,-1.363,4.266
Au2CaF12,1.566,-6.651,-8.217,9.112
Bi2O9Si3,3.733,-1.074,-4.806,3.853
CrMoF6,0.313,-4.21,-4.523,5.559
Cu3O4P,1.29,-3.886,-5.176,5.514
AlP,2.26,-1.131,-3.391,4.222
Ga2Ge2Te2,0.674,-1.433,-2.107,4.596
Hg4W2O8,2.506,-2.031,-4.537,5.056
K2N2O6,3.166,-1.609,-4.775,4.49
Mg2P2S6,2.796,-1.805,-4.601,5.154
Mo2ZrO8,3.205,-3.951,-7.156,7.19
Hg2Pt4Se6,0.153,-2.112,-2.264,4.829
Sc2CCl2,0.883,-2.385,-3.268,5.51
Zn4Cl4O4,0.139,-5.985,-6.124,7.576
AgVP2Se6,0.35,-2.755,-3.105,4.98
SrCl2,5.738,0.34,-5.398,5.071
Cu2C4H4O8,0.209,-4.471,-4.68,5.224
FeSn2C6N6,3.525,-0.849,-4.374,3.582
Mn2I2Sb2Se4,0.054,-2.593,-2.647,4.376
Ca2C2F2O6,0.839,-5.604,-6.443,8.366
K2Os2F10N2O2,0.858,-3.629,-4.487,5.983
Cd2Te2,0.845,-1.37,-2.215,5.068
In2Cl2,2.298,-1.132,-3.431,3.69
Bi2Te3,0.083,-0.395,-0.479,5.291
Pb2O2,0.192,-2.428,-2.62,4.631
Au2Se2,0.956,-2.117,-3.073,5.05
Pb2Cl2,0.42,-0.841,-1.261,5.286
Zr2Cl2,0.036,1.019,0.983,2.425
Cs2F2,4.151,0.277,-3.874,3.101
W2O2,0.053,-0.431,-0.484,6.274
Ga2S2,2.321,-0.097,-2.418,5.107
Ge2Se2,1.121,-0.093,-1.214,3.965
HgO,0.302,-3.116,-3.418,5.041
Pb2Te2,0.434,-1.142,-1.576,4.116
Tl2I2,2.063,-1.516,-3.579,4.379
V2Se2,0.257,-0.7,-0.957,4.924
Si2Te2,0.388,0.175,-0.213,3.582
Tl2Te2,0.294,-1.07,-1.364,5.047
CdBr2,3.069,-1.115,-4.184,5.593
F2Ge,1.599,-2.261,-3.86,4.578
HfSe2,1.688,-1.582,-3.27,5.259
HgI2,1.199,-1.429,-2.628,5.269
MgCl2,4.762,-0.19,-4.952,5.656
MnO2,1.132,-3.55,-4.682,7.166
NiS2,0.583,-1.74,-2.323,5.5
Os2Se4,0.144,-2.435,-2.578,5.225
PbCl2,1.941,-2.844,-4.785,5.807
PbSe2,0.295,-2.37,-2.665,5.325
RuCl2,0.463,-1.844,-2.307,5.715
ScH2,0.366,-1.82,-2.185,3.939
SnI2,1.926,-0.626,-2.552,4.914
SrBr2,4.313,-0.286,-4.6,5.358
Ti2I4,0.155,0.057,-0.098,4.038
ZnI2,0.898,-1.032,-1.929,4.938
ZrBr2,0.828,1.045,0.217,3.238
ZrS2,0.965,-1.933,-2.898,6.366
CaH2S2,3.815,0.58,-3.235,3.26
MgF2S2,2.514,-1.852,-4.366,6.268
OS2Sb2,0.595,-1.2,-1.795,5.806
Bi2S2Se,0.412,-1.252,-1.663,6.202
Ag2MoO4,2.085,-2.716,-4.8,5.596
Au2WO4,2.962,-2.203,-5.165,5.162
Ag2Br6,0.046,-3.901,-3.947,6.522
Cr2Br6,1.51,-1.948,-3.457,5.583
Hf2S6,1.157,0.176,-0.981,5.404
Rh2Cl6,0.22,-3.45,-3.671,6.094
Ti2S6,0.295,-0.241,-0.535,5.238
Y2I6,2.756,-0.461,-3.216,4.847
CrW3S8,1.126,0.043,-1.083,5.049
Ga2Br2O2,2.515,-0.526,-3.04,5.525
Hf3TiS8,1.01,-1.861,-2.871,6.307
Ti3ZrS8,0.849,-2.031,-2.88,6.324
BiBrSe,0.733,-2.527,-3.26,5.982
VClI,1.1,-0.436,-1.536,3.977
Sn2Cl2N2,1.406,-1.215,-2.621,5.88
Ti2I2N2,0.062,-0.811,-0.873,5.309
Tl2I2S2,0.253,-1.828,-2.082,5.915
TiSSe,0.505,-1.785,-2.29,5.951
ZrSTe,0.208,-1.076,-1.283,5.283
Ag2Cl2S4,1.186,-2.706,-3.892,5.744
CH2Si,3.781,0.565,-3.216,3.489
Cd2P2Te6,0.809,-0.34,-1.149,4.53
Ge2P2Te6,0.819,-0.412,-1.23,4.5
Sn2P2S6,1.038,-1.131,-2.169,5.012
Zn2P2S6,2.086,-0.401,-2.487,5.06
Hf2Zr2S8,1.129,-1.801,-2.93,6.306
FeHfI6,0.781,-0.646,-1.427,4.458
NiZrCl6,1.598,-2.641,-4.239,6.308
As8Si4,1.422,-1.902,-3.324,4.576
Hg4I8,1.664,-3.172,-4.835,5.333
MgCl2,5.293,-1.514,-6.807,5.398
Rb2C4,0.476,-4.395,-4.871,5.841
Cu2O4S,2.053,-2.356,-4.409,4.45
Zn2Se2,2.042,-2.242,-4.283,4.85
Al2Si2Te6,1.115,-1.898,-3.012,4.549
Au4I4Te4,1.071,-2.812,-3.883,5.29
Bi2MnTe4,0.11,-1.096,-1.207,4.68
In2Si2Te6,0.682,-2.305,-2.987,4.726
Mg2P2Se6,2.049,-1.918,-3.967,4.919
Mo2Br4O4,1.424,-3.746,-5.17,6.211
PbSb2Te4,0.302,-1.175,-1.477,4.91
VBr2O,0.77,-3.517,-4.287,5.548
AgBiP2Se6,1.101,-2.51,-3.611,5.057
CdClHO,2.517,-2.323,-4.84,4.871
Cu2H4O10Se2,0.609,-5.497,-6.106,6.914
FeZn2C6N6,3.938,-1.136,-5.074,3.966
Li2PtH6O6,2.833,-0.713,-3.547,3.079
Mo2Zn2O12Te2,3.118,-2.036,-5.154,6.413
NiC2N2S2,0.646,-3.461,-4.108,5.292
K2Os2Br8N2O4,0.042,-4.417,-4.459,6.054
Ge2,0.025,-2.318,-2.343,4.464
Zr3F2N2O2,0.899,-0.813,-1.712,8.245
Hf3C2O2,0.42,1.034,0.614,5.601
Ag2I2,1.874,-0.642,-2.516,4.523
InAs,0.691,-2.211,-2.902,4.575
In2Cl2,1.552,-0.838,-2.389,5.663
Sn2Cl2,0.031,-0.656,-0.686,4.801
Cu2F2,0.032,-4.102,-4.134,6.333
Y2F2,0.031,-1.254,-1.285,3.652
Ga2Se2,1.765,-0.233,-1.998,4.914
Hf2S2,0.134,0.363,0.229,3.355
HgS,0.065,-3.42,-3.484,5.44
Tl2I2,2.399,-0.514,-2.913,3.942
In2S2,1.675,-0.636,-2.311,5.509
Pb2O2,0.242,-1.286,-1.528,3.333
Re2S2,0.237,0.401,0.165,3.726
Rh2Se2,0.101,0.6,0.499,4.337
Sc2S2,0.414,-0.928,-1.342,5.0
Sc2Se2,0.4,-0.718,-1.118,4.866
Tl2Te2,0.339,-1.006,-1.345,5.014
CdBr2,2.369,-1.467,-3.836,5.801
Cd2Te4,1.068,-0.719,-1.787,4.111
CrSe2,0.685,-0.178,-0.864,4.884
RuCl2,1.181,-0.425,-1.606,4.364
FeI2,0.065,-2.365,-2.43,5.01
GeI2,1.954,-0.658,-2.612,4.883
HfSe2,0.427,-1.079,-1.505,5.16
Hg2O4,0.235,-4.372,-4.607,7.161
In4Br8,1.643,-2.395,-4.039,5.57
MgI2,3.273,0.393,-2.88,4.437
NiCl2,1.219,-2.301,-3.519,6.004
Ni2Se4,1.015,-1.583,-2.597,4.686
Os2Se4,0.567,0.032,-0.535,4.524
PbF2,2.579,-2.156,-4.735,5.123
PbSe2,0.082,-2.289,-2.371,5.885
SnO2,2.101,-3.414,-5.515,6.92
SrBr2,4.929,0.125,-4.804,4.954
Ta4O8,0.582,-1.45,-2.031,5.055
TiI2,0.596,0.993,0.397,3.33
TiSe2,0.522,-1.591,-2.112,5.832
ZnI2,2.431,-0.79,-3.222,4.625
Zr2Cl4,0.611,-0.108,-0.719,4.237
ZrS2,1.928,-2.057,-3.984,5.723
CdF2O2,1.573,-3.247,-4.82,6.84
MgH2O2,3.352,0.188,-3.164,2.888
OSb2Se2,0.513,-0.784,-1.297,5.327
Bi2SeTe2,0.121,-0.455,-0.575,5.299
Ag2MoS4,0.94,-1.976,-2.917,5.083
Au2WS4,1.071,-1.166,-2.237,4.525
Bi2I6,1.102,-2.316,-3.418,5.609
Cr2Cl6,1.735,-2.118,-3.854,5.902
Hf2Se6,0.272,0.248,-0.024,5.025
Pt2Cl6,0.027,-2.751,-2.778,5.586
Rh2Cl6,1.59,-1.962,-3.552,5.751
Y2I6,2.574,-0.983,-3.557,4.992
CrW3Se8,0.882,0.483,-0.399,4.533
Hf3TiSe8,0.723,-1.465,-2.187,5.857
Ti3ZrSe8,0.579,-1.578,-2.157,5.839
AsBrS,1.387,-1.652,-3.039,5.441
BiBrTe,0.591,-2.245,-2.836,5.661
Ga2Br2S2,1.485,-1.494,-2.979,5.678
Sc2Br2O2,3.21,-0.136,-3.346,5.635
BrSbSe,1.069,-1.802,-2.871,5.444
Li2H2O2,3.935,-0.321,-4.256,3.167
HfSeTe,0.142,-0.951,-1.093,5.236
VSSe,0.013,-1.482,-1.496,5.556
Ag2Cl2Se4,1.34,-2.315,-3.655,5.442
Cu2Cl2Se4,0.829,-2.196,-3.024,5.159
Hf2P2S6,0.86,-1.223,-2.083,5.142
Nb2P2S6,0.508,0.487,-0.021,4.059
Pt2P2S6,0.053,-0.719,-0.772,4.621
Sn2P2Se6,0.719,-1.053,-1.772,4.832
Zn2P2Se6,1.307,-0.547,-1.854,4.877
Hf2Zr2Se8,0.841,-1.41,-2.251,5.855
FeZrBr6,0.871,-1.317,-2.188,4.815
NiZrF6,0.409,-4.318,-4.728,6.561
As4O6,3.876,-1.196,-5.073,4.251
Bi8Rh4,0.014,-1.564,-1.578,3.747
In2Te5,1.08,-2.086,-3.166,4.423
O6Sb4,3.615,-0.947,-4.561,3.923
Ti4O8,1.893,-5.016,-6.909,8.129
Al2Tl2F8,2.255,-3.749,-6.004,6.043
Bi4Sr2O8,2.704,0.18,-2.524,3.424
CoCl2O8,0.735,-4.602,-5.337,6.839
Cu2Ge2O6,0.086,-4.543,-4.629,6.032
Ge3O9Sb2,3.766,-1.591,-5.356,4.561
Mo2Ta2O11,2.566,-3.829,-6.395,7.321
PbWO4,2.722,-3.034,-5.756,5.666
CuInP2Se6,0.489,-2.494,-2.984,4.794
Pt2Ta4Se14,0.014,-2.817,-2.831,5.055
Sc2P2S8,1.896,-2.72,-4.616,5.563
VCl2O,0.806,-3.825,-4.631,5.817
Zr2Ge2Te8,0.522,-1.746,-2.268,4.293
AlLiP2S6,2.824,-2.001,-4.825,5.112
CdGaInS4,0.412,-1.943,-2.355,5.229
CdC4Cl2H4N2,2.176,-2.838,-5.014,5.242
LiC5H5N2O5,3.245,-2.201,-5.447,4.472
P4,0.903,-0.918,-1.821,4.602
Y3N2O2,0.245,-0.199,-0.444,5.675
Ag2O2,0.164,-3.533,-3.697,5.47
Al2S2,2.142,-0.173,-2.315,5.094
Au2Br2,0.486,-2.091,-2.577,5.643
Br2Sb2,0.444,-1.911,-2.355,4.838
Ca2I2,0.134,-0.743,-0.876,3.621
GeSe,2.218,-0.916,-3.133,4.652
Hg2Se2,0.084,-2.253,-2.337,5.646
In2S2,1.604,-0.691,-2.296,5.524
PbO,1.801,-1.677,-3.478,4.969
Sc2O2,0.7,0.219,-0.481,3.413
Pb2Te2,0.271,-1.801,-2.073,4.202
Ti2S2,0.054,-0.634,-0.687,4.115
Sn2Te2,0.603,0.104,-0.499,3.788
Zr2Te2,0.207,0.673,0.466,4.615
BaBr2,4.157,-0.171,-4.328,5.267
CaBr2,4.742,-0.723,-5.465,5.02
CdBr2,2.925,-1.875,-4.8,5.627
FeI2,0.144,-1.049,-1.192,4.921
Fe2Te4,0.282,0.102,-0.18,4.397
GeI2,1.012,-2.101,-3.113,5.044
Hf2I4,0.627,0.828,0.201,3.7
HfSe2,0.812,-1.372,-2.184,5.859
VCl2,1.354,-0.275,-1.629,4.007
MgI2,2.566,0.198,-2.367,4.435
MoSe2,1.321,0.673,-0.649,4.572
VS2,0.028,-1.844,-1.872,5.914
Zr2CO2,0.95,0.525,-0.425,4.817
CdH2O2,2.244,-0.665,-2.909,3.336
PbI2,1.293,-2.32,-3.613,5.336
Pb2Te4,0.115,-1.292,-1.406,4.209
PtBr2,0.152,-1.752,-1.904,4.938
Pt2S4,1.802,-1.0,-2.802,4.692
ZrS2,1.159,-1.567,-2.726,5.846
Y2CF2,1.117,0.72,-0.398,3.69
SnO2,2.683,-2.393,-5.076,6.989
SrBr2,4.569,-0.856,-5.425,4.945
TiTe2,0.036,-0.982,-1.018,5.15
WO2,1.34,-0.783,-2.124,5.706
Zn2S4,1.693,-1.061,-2.754,4.163
MgH2S2,3.508,0.546,-2.962,3.202
OSb2Te2,0.479,-0.06,-0.538,4.599
S2Sb2Se,0.599,-0.548,-1.147,5.618
Ag2MoSe4,0.695,-1.636,-2.331,4.75
Au2WSe4,0.76,-0.916,-1.676,4.249
BrSbSe,1.464,-1.099,-2.563,5.393
Ag2Cl6,0.267,-4.42,-4.687,7.184
Bi2I6,1.377,-1.976,-3.353,5.619
Cr2I6,0.891,-1.302,-2.192,5.009
Ga2Br6,1.35,-2.805,-4.155,6.048
Rh2I6,0.991,-0.979,-1.97,4.869
I6Sb2,1.826,-1.235,-3.06,5.133
CrW3Te8,0.543,0.72,0.177,4.266
Hf3TiTe8,0.08,-0.971,-1.051,5.172
Ti3ZrTe8,0.08,-1.003,-1.083,5.181
AsBrS,1.417,-1.335,-2.752,5.58
Rh2Br2S2,0.043,-1.778,-1.821,5.72
BiBrTe,0.529,-1.723,-2.252,5.569
Ga2Br2Se2,0.736,-1.762,-2.498,5.529
ZrBrI,0.774,1.401,0.627,3.149
Ga2Cl2O2,3.674,-0.666,-4.34,6.157
Ti2Cl2N2,0.62,-1.978,-2.597,6.23
Rh2Cl2O2,0.04,-1.758,-1.798,5.44
CrSTe,0.261,-0.295,-0.557,4.862
Li2H2S2,3.969,-0.043,-4.011,3.369
Sc2I2O2,1.812,0.375,-1.437,4.879
Ag2Cl2Te4,1.291,-1.782,-3.074,4.982
Cu2Cl2Te4,0.853,-1.609,-2.463,4.716
Ag2P2Se6,0.037,-1.705,-1.742,5.417
Hf2P2Se6,0.469,-1.028,-1.497,4.872
Pt2P2Se6,0.414,-0.779,-1.193,4.743
Sn2P2Te6,0.431,-0.802,-1.233,4.565
Zn2P2Te6,0.591,-0.394,-0.985,4.508
Hf2Zr2Te8,0.166,-0.971,-1.137,5.228
FeZrCl6,1.048,-1.489,-2.538,5.106
NiZrI6,0.851,-1.565,-2.416,5.258
As4O6,4.256,-0.348,-4.604,4.002
C6N8,1.265,-2.718,-3.984,4.302
In2Se3,0.435,-2.887,-3.322,5.901
O8Te4,2.667,-1.551,-4.218,4.728
Ru2F8,0.628,-5.889,-6.517,7.629
V2F8,0.597,-5.701,-6.298,7.28
Al2FeS4,0.663,-0.052,-0.715,3.608
B3C10N3,0.811,-2.722,-3.533,4.265
Ca2Br2H2,4.194,-0.548,-4.743,4.732
Co4Br4O4,0.176,-3.14,-3.316,4.99
Cu2I4O12,0.735,-3.319,-4.053,5.391
Au2Te2,0.037,-0.644,-0.681,4.084
H4O12Te4,2.579,-2.792,-5.371,5.825
In2ZnS4,0.019,-2.189,-2.209,5.382
MgB2H8,6.082,-0.835,-6.918,4.876
Bi2I2,0.776,-1.749,-2.525,5.189
Pt4Tl2S6,1.253,-1.768,-3.021,4.222
Sc2O13Te5,3.167,-1.37,-4.537,4.413
Ta2I4O2,0.861,-2.011,-2.871,4.544
As2H2O10Te2,3.389,-2.425,-5.814,6.178
CdPb2Cl2O2,2.869,-1.341,-4.21,4.578
Cu2PtC6N8,1.623,-4.186,-5.809,6.15
Ga2F4H10N4,2.656,-0.531,-3.187,2.894
Na2H8I2O4,3.591,-1.182,-4.773,4.133
CoC4Cl2H4N2,0.316,-2.668,-2.984,4.263
MgNa2H4O8S2,4.454,0.172,-4.282,3.382
Sb2,0.983,-0.847,-1.83,4.067
Zr3N2O2,0.401,2.397,1.996,4.427
Al2S2,2.085,-0.252,-2.338,5.164
Au2Br2,0.367,-2.256,-2.624,5.646
Pt2Cl2,1.308,-0.102,-1.41,5.067
Cu2I2,1.865,0.41,-1.455,3.637
Ga2Se2,1.644,-0.529,-2.172,4.955
Ge2Te2,0.815,0.186,-0.629,3.795
HgSe,0.117,-3.37,-3.487,5.427
V2I2,0.025,0.981,0.956,3.201
Ir2S2,0.041,0.806,0.764,4.817
BaBr2,4.902,0.327,-4.575,4.785
Pb2Te2,0.445,-0.325,-0.77,4.256
Pt2S2,0.031,-2.267,-2.299,4.887
S2Si2,1.417,-0.841,-2.258,4.636
Tl2S2,0.673,-1.622,-2.296,5.974
Zn2S2,2.557,-0.665,-3.222,5.017
Sn2Te2,0.028,-1.901,-1.929,4.183
V2Te2,0.226,-0.517,-0.743,4.728
Zr2Te2,0.452,0.76,0.308,4.607
CaBr2,4.863,0.132,-4.731,5.017
CdCl2,3.868,-1.2,-5.069,6.07
CrO2,0.416,-3.185,-3.601,7.141
FeI2,0.687,-0.011,-0.698,4.103
GeO2,3.006,-2.725,-5.732,6.891
HfI2,0.63,1.844,1.214,2.789
MnBr2,1.477,-1.424,-2.901,5.128
MoO2,0.912,-1.629,-2.541,6.213
OsI2,1.1,0.79,-0.31,3.601
PbI2,1.499,-1.654,-3.154,5.549
PdO2,1.379,-3.102,-4.481,6.83
Rh4Se8,0.583,-1.137,-1.72,5.199
Ru2Se4,0.779,-0.328,-1.107,4.727
ScI2,0.106,0.081,-0.025,3.688
S2Si,1.383,-1.385,-2.767,5.782
SnO2,0.665,-4.155,-4.82,8.127
TiTe2,0.374,-1.935,-2.309,4.959
YI2,0.142,0.299,0.157,3.583
CdH2S2,2.261,-0.437,-2.698,3.659
MnH2O2,0.249,-0.157,-0.406,1.819
Ag2MoTe4,0.313,-1.171,-1.484,4.37
OsH2O2,0.829,0.722,-0.107,1.846
Sb2SeTe2,0.4,0.169,-0.231,4.811
Au2WTe4,0.323,-0.572,-0.895,3.977
Ga2Br6,2.594,-1.647,-4.24,5.731
In2Br6,2.745,-1.736,-4.481,5.852
Tl2Br6,1.661,-2.843,-4.505,6.362
HfTi3S8,0.858,-2.027,-2.885,6.338
TiZr3S8,0.997,-1.911,-2.907,6.301
PbF4,2.704,-5.694,-8.399,9.143
Al2Br2O2,4.142,1.518,-2.624,4.501
AsBrSe,1.497,-1.013,-2.51,5.316
Bi2I2O2,1.074,-0.505,-1.58,5.495
Br2Ge2N2,1.5,-0.809,-2.309,5.683
Zr2Br2N2,1.816,-0.391,-2.207,5.556
BrSbTe,1.052,-1.569,-2.62,5.234
Ga2Cl2S2,1.417,-1.628,-3.045,5.73
Na2H2O2,3.504,-0.733,-4.237,3.264
WSSe,1.402,0.883,-0.518,4.498
Ag2I2S4,1.188,-1.627,-2.815,5.191
Co2F2O4,0.467,-2.966,-3.432,7.337
Zr2P2S6,0.759,-1.392,-2.151,5.181
Mo2W2S8,1.532,0.412,-1.12,4.938
FeZrF6,1.206,-2.189,-3.395,5.279
As4O6,3.791,-1.649,-5.44,4.488
Mo2O6,2.067,-4.141,-6.209,7.51
O10P4,4.995,-2.888,-7.883,6.898
S8Si4,3.428,-1.604,-5.032,4.893
V4O10,1.564,-5.022,-6.586,7.979
Al2MgS4,2.048,-0.375,-2.423,4.345
Ba2H8O6,4.228,-0.062,-4.29,3.518
CoRe2O8,0.516,-4.673,-5.19,6.545
CuLi2O2,0.323,-1.736,-2.059,2.569
In4Br4Te4,2.024,-2.651,-4.675,5.309
Li2V4O10,0.309,-4.053,-4.363,5.627
Nb2Br4S4,1.556,-2.207,-3.763,4.836
Pd2N4O12,1.431,-4.301,-5.731,6.284
Pt4Tl2Se6,1.132,-1.757,-2.89,4.195
Ta3I7Se,0.665,-2.07,-2.736,4.529
W2Cl4O4,2.187,-4.112,-6.299,6.954
Zr2Br2N2,1.618,-1.508,-3.126,5.486
As4H2O12P2,4.556,-1.208,-5.764,4.73
Cd2H4O8Se2,4.104,-0.736,-4.84,4.392
Cu2As4Cl2S3,1.198,-2.395,-3.593,4.505
Ga2H2O8Se2,4.295,-0.776,-5.071,4.5
Li2H4N2O6,2.637,-2.144,-4.781,4.695
CoC4H8N2O4,0.393,-3.1,-3.493,4.265
MnNa2F3O7P2,0.035,-6.021,-6.055,7.817
Sb4,0.18,-0.174,-0.354,3.81
Ag2S2,0.962,-2.895,-3.856,5.718
AlSb,1.507,-1.481,-2.987,4.246
Au2Cl2,0.019,-3.066,-3.085,6.246
Au2Te2,0.618,-1.759,-2.377,4.548
Bi2O2,0.12,-0.736,-0.856,4.28
Hg2Br2,0.193,-1.761,-1.954,6.039
Pb2Br2,0.438,-0.567,-1.005,5.02
Cs2Cl2,4.46,-0.005,-4.465,3.51
K2Cl2,4.882,-0.353,-5.235,3.904
PbTe,0.93,-1.152,-2.082,4.171
Cu2I2,1.787,0.713,-1.074,3.646
SnTe,1.582,-0.749,-2.331,4.176
Ga2Te2,1.269,-0.293,-1.563,4.529
Hg2Te2,0.084,-1.568,-1.652,5.084
V2Te2,0.224,-0.67,-0.894,4.906
Zr2Te2,0.055,-0.071,-0.126,4.021
I2Sb2,0.039,-1.214,-1.253,5.273
InSb,0.475,-2.029,-2.504,4.34
Ir2S2,0.297,0.754,0.457,4.763
SnO,1.706,-1.617,-3.323,5.075
BaBr2,4.559,-0.647,-5.206,4.751
CaBr2,4.128,-0.457,-4.585,5.495
CdCl2,3.098,-1.723,-4.821,6.461
CoBr2,0.348,-2.468,-2.816,5.782
GeO2,3.641,-1.791,-5.432,7.047
HfTe2,0.988,-1.434,-2.422,4.834
Ir4Te8,0.551,-0.161,-0.713,4.45
MnBr2,1.588,-1.524,-3.112,5.527
Pd2S4,1.12,-1.822,-2.942,4.987
Se2Si,0.467,-1.419,-1.886,5.409
SnS2,1.438,-1.8,-3.238,5.399
SrCl2,4.944,-0.237,-5.181,5.615
NiSe2,0.06,-1.275,-1.335,4.846
PbI2,1.577,-1.311,-2.889,5.452
PtS2,1.688,-0.902,-2.59,5.402
Re4O8,1.304,-1.537,-2.841,6.032
Re4Te8,0.817,0.971,0.153,4.103
WTe2,0.727,1.142,0.414,4.055
Ru2Se4,0.103,-2.697,-2.8,5.304
TaO2,0.554,-1.826,-2.38,4.085
Zn2Se4,1.382,-1.215,-2.596,4.323
ZrCl2,0.981,0.89,-0.091,3.519
Hf2CO2,0.938,0.569,-0.369,4.879
PbH2O2,1.567,-0.576,-2.143,3.021
SnH2O2,0.893,-0.535,-1.428,2.549
Y2CH2O2,0.456,1.595,1.139,1.423
Au2MoO4,2.64,-2.494,-5.135,5.269
Cu2WO4,2.908,-1.678,-4.586,4.53
Au2Br6,0.082,-3.354,-3.436,6.086
Ga2Cl6,3.83,-1.343,-5.172,6.086
In2Br6,2.011,-2.501,-4.512,6.024
Mn2Br6,0.023,-3.253,-3.276,6.046
Tl2Br6,1.092,-3.503,-4.595,6.525
W2Br6,0.199,-0.231,-0.43,4.022
HfTi3Se8,0.587,-1.567,-2.154,5.847
TiZr3Se8,0.706,-1.526,-2.232,5.858
SnF4,4.082,-4.301,-8.382,8.579
Al2Br2S2,2.263,-0.366,-2.628,5.029
AsBrSe,1.228,-1.613,-2.841,5.336
Bi2Cl2O2,1.733,-1.715,-3.448,6.619
Bi2I2S2,0.837,-1.492,-2.329,5.765
BrSbTe,1.319,-0.911,-2.23,5.184
Ga2Cl2Se2,0.606,-1.914,-2.521,5.574
Sc2Cl2O2,4.243,-0.307,-4.55,6.208
CrSeTe,0.572,0.008,-0.564,4.75
Na2H2S2,3.56,-0.558,-4.118,3.434
Zr2I2N2,1.104,0.111,-0.993,5.144
ISbSe,1.007,-0.733,-1.739,5.042
TiSeTe,0.065,-1.058,-1.122,5.198
Ag2I2Se4,1.054,-1.747,-2.801,5.167
Co2H2O4,0.391,-1.355,-1.746,4.491
Al2P2S6,1.305,-0.434,-1.739,4.627
Hg2P2S6,1.02,-1.412,-2.432,5.497
Ni2P2S6,0.028,-1.454,-1.482,5.223
Ta2P2Se6,0.294,-0.799,-1.093,4.853
Zr2P2Se6,0.394,-1.142,-1.536,4.916
Mo2W2Se8,1.27,0.853,-0.417,4.417
FeZrI6,0.661,-0.849,-1.51,4.578
